Device_ID,Row Index,Time Stamp,Column Index,Action,State,Position,Msg Type,Value
PCS150PA04,4013,23-08-25T21:10:40.313+04:00,0,Active,1,      ,      ,      
PCS150PA04,4014,23-08-25T21:10:40.022+04:00,1,Online,1,      ,      ,      
PCS150PA04,4015,23-08-25T21:10:40.102+04:00,2,Service,1,      ,      ,      
PCS150PA04,4016,23-08-25T21:10:40.694+04:00,5,Measured Temperature,      ,      ,Temperature,25.2
PCS150PA04,4017,23-08-25T21:10:40.778+04:00,5,Measured Humidity,      ,      ,Humidity,70.2
PCS150PA04,4018,23-08-25T21:10:57.343+04:00,3,      ,      ,      ,Sleep,Trigger to Sleep
PCS150PA04,4019,23-08-25T21:11:07.581+04:00,2,Service,0,      ,      ,      
PCS150PA04,4020,23-08-25T21:11:07.673+04:00,1,Online,0,      ,      ,      
PCS150PA04,4021,23-08-25T21:11:07.750+04:00,0,Active,0,      ,      ,      
PCS150PA04,4022,23-08-25T21:11:14.347+04:00,0,Active,1,      ,      ,      
PCS150PA04,4023,23-08-25T21:11:14.682+04:00,1,Online,1,      ,      ,      
PCS150PA04,4024,23-08-25T21:11:14.760+04:00,2,Auto,1,      ,      ,      
PCS150PA04,4025,23-08-25T21:11:17.571+04:00,5,Measured Temperature,      ,      ,Temperature,25.2
PCS150PA04,4026,23-08-25T21:11:17.713+04:00,5,Measured Humidity,      ,      ,Humidity,70.2
PCS150PA04,4027,23-08-25T21:11:17.812+04:00,3,Safety Check,0,      ,      ,      
PCS150PA04,4028,23-08-25T21:11:19.960+04:00,3,Deep Clean,1,      ,      ,      
PCS150PA04,4029,23-08-25T21:11:19.047+04:00,4,Arm Motion,1,2344,      ,      
PCS150PA04,4030,23-08-25T21:11:19.589+04:00,4,Air Blower,1,2199,      ,      
PCS150PA04,4031,23-08-25T21:11:27.349+04:00,4,Air Blower,0,1899,      ,      
PCS150PA04,4032,23-08-25T21:11:29.490+04:00,4,Settling Delay,1,2344,      ,      
PCS150PA04,4033,23-08-25T21:11:29.573+04:00,4,Arm Motion,0,2344,      ,      
PCS150PA04,4034,23-08-25T21:21:17.737+04:00,5,Measured Temperature,      ,      ,Temperature,25.2
PCS150PA04,4035,23-08-25T21:21:17.829+04:00,5,Measured Humidity,      ,      ,Humidity,70.4
PCS150PA04,4036,23-08-25T21:23:29.490+04:00,4,Settling Delay,0,2344,      ,      
PCS150PA04,4037,23-08-25T21:23:29.573+04:00,4,Arm Motion,1,2344,      ,      
PCS150PA04,4038,23-08-25T21:23:31.367+04:00,4,Water Jet,1,      ,Water Level,1003
PCS150PA04,4039,23-08-25T21:23:36.192+04:00,4,Water Jet,0,      ,Water Level,937
PCS150PA04,4040,23-08-25T21:23:36.283+04:00,4,Air Blower,1,1779,      ,      
PCS150PA04,4041,23-08-25T21:23:55.477+04:00,4,Air Blower,0,1899,      ,      
PCS150PA04,4042,23-08-25T21:23:56.976+04:00,4,Arm Motion,0,2344,      ,      
PCS150PA04,4043,23-08-25T21:23:57.073+04:00,3,Deep Clean,0,      ,      ,      
PCS150PA04,4044,23-08-25T21:23:57.815+04:00,5,      ,      ,      ,Info,Water consumed: 65.86 ml.
PCS150PA04,4045,23-08-25T21:26:00.237+04:00,2,Auto,0,      ,      ,      
PCS150PA04,4046,23-08-25T21:26:00.322+04:00,1,Online,0,      ,      ,      
PCS150PA04,4047,23-08-25T21:26:00.400+04:00,0,Active,0,      ,      ,      
PCS150PA04,4048,23-08-25T21:26:33.376+04:00,0,Active,1,      ,      ,      
PCS150PA04,4049,23-08-25T21:26:33.294+04:00,1,Online,1,      ,      ,      
PCS150PA04,4050,23-08-25T21:26:33.384+04:00,2,Service,1,      ,      ,      
PCS150PA04,4051,23-08-25T21:26:37.600+04:00,5,Measured Temperature,      ,      ,Temperature,25.1
PCS150PA04,4052,23-08-25T21:26:37.692+04:00,5,Measured Humidity,      ,      ,Humidity,69.2
PCS150PA04,4053,23-08-25T21:26:50.139+04:00,3,      ,      ,      ,Sleep,Trigger to Sleep
PCS150PA04,4054,23-08-25T21:27:03.958+04:00,2,Service,0,      ,      ,      
PCS150PA04,4055,23-08-25T21:27:03.057+04:00,1,Online,0,      ,      ,      
PCS150PA04,4056,23-08-25T21:27:03.133+04:00,0,Active,0,      ,      ,      
PCS150PA04,4057,23-08-25T21:27:08.336+04:00,0,Active,1,      ,      ,      
PCS150PA04,4058,23-08-25T21:27:08.830+04:00,1,Online,1,      ,      ,      
PCS150PA04,4059,23-08-25T21:27:08.914+04:00,2,Auto,1,      ,      ,      
PCS150PA04,4060,23-08-25T21:27:12.560+04:00,5,Measured Temperature,      ,      ,Temperature,25.1
PCS150PA04,4061,23-08-25T21:27:12.670+04:00,5,Measured Humidity,      ,      ,Humidity,70.5
PCS150PA04,4062,23-08-25T21:27:59.817+04:00,3,Safety Check,0,      ,      ,      
PCS150PA04,4063,23-08-25T21:27:59.909+04:00,3,Dry Clean,1,      ,      ,      
PCS150PA04,4064,23-08-25T21:28:00.994+04:00,4,Arm Motion,1,2344,      ,      
PCS150PA04,4065,23-08-25T21:28:00.514+04:00,4,Air Blower,1,2199,      ,      
PCS150PA04,4066,23-08-25T21:28:07.775+04:00,4,Air Blower,0,1899,      ,      
PCS150PA04,4067,23-08-25T21:28:09.258+04:00,4,Arm Motion,0,2344,      ,      
PCS150PA04,4068,23-08-25T21:28:09.341+04:00,3,Dry Clean,0,      ,      ,      
PCS150PA04,4069,23-08-25T21:28:39.390+04:00,2,Auto,0,      ,      ,      
PCS150PA04,4070,23-08-25T21:28:39.524+04:00,1,Online,0,      ,      ,      
PCS150PA04,4071,23-08-25T21:28:39.604+04:00,0,Active,0,      ,      ,      
PCS150PA04,4072,23-08-25T21:28:47.290+04:00,0,Active,1,      ,      ,      
PCS150PA04,4073,23-08-25T21:28:47.402+04:00,1,Online,1,      ,      ,      
PCS150PA04,4074,23-08-25T21:28:47.481+04:00,2,Service,1,      ,      ,      
PCS150PA04,4075,23-08-25T21:28:51.591+04:00,5,Measured Temperature,      ,      ,Temperature,25.1
PCS150PA04,4076,23-08-25T21:28:51.753+04:00,5,Measured Humidity,      ,      ,Humidity,70.8
PCS150PA04,4077,23-08-25T21:29:02.558+04:00,3,Water Refill,1,      ,Water Level,937
PCS150PA04,4078,23-08-25T21:29:10.810+04:00,3,Water Refill,0,      ,Water Level,1270
PCS150PA04,4079,23-08-25T21:29:31.286+04:00,3,Safety Check,0,      ,      ,      
PCS150PA04,4080,23-08-25T21:29:31.372+04:00,3,Deep Clean,1,      ,      ,      
PCS150PA04,4081,23-08-25T21:29:31.447+04:00,4,Arm Motion,1,2344,      ,      
PCS150PA04,4082,23-08-25T21:29:32.983+04:00,4,Air Blower,1,2199,      ,      
PCS150PA04,4083,23-08-25T21:29:39.731+04:00,4,Air Blower,0,1899,      ,      
PCS150PA04,4084,23-08-25T21:29:41.863+04:00,4,Arm Motion,0,2344,      ,      
PCS150PA04,4085,23-08-25T21:29:42.961+04:00,4,Arm Motion,1,2344,      ,      
PCS150PA04,4086,23-08-25T21:29:43.749+04:00,4,Water Jet,1,      ,Water Level,1270
PCS150PA04,4087,23-08-25T21:29:48.644+04:00,4,Water Jet,0,      ,Water Level,1203
PCS150PA04,4088,23-08-25T21:29:48.734+04:00,4,Air Blower,1,1779,      ,      
PCS150PA04,4089,23-08-25T21:30:08.992+04:00,4,Air Blower,0,1899,      ,      
PCS150PA04,4090,23-08-25T21:30:09.441+04:00,4,Arm Motion,0,2344,      ,      
PCS150PA04,4091,23-08-25T21:30:09.525+04:00,3,Deep Clean,0,      ,      ,      
PCS150PA04,4092,23-08-25T21:30:12.801+04:00,3,      ,      ,      ,Sleep,Trigger to Sleep
PCS150PA04,4093,23-08-25T21:30:25.957+04:00,2,Service,0,      ,      ,      
PCS150PA04,4094,23-08-25T21:30:25.048+04:00,1,Online,0,      ,      ,      
PCS150PA04,4095,23-08-25T21:30:25.123+04:00,0,Active,0,      ,      ,      
PCS150PA04,4101,23-08-25T21:32:57.131+04:00,0,Active,1,      ,      ,      
PCS150PA04,4102,23-08-25T21:33:00.387+04:00,0,Active,1,      ,      ,      
